"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
181,4,3,4,5,3,3,4,3,4
182,4,3,3,3,4,5,3,2,4
183,3,4,4,3,3,4,4,4,4
185,4,2,2,4,1,3,3,2,4
187,4,4,4,3,4,4,4,3,3
188,3,3,3,3,3,3,3,3,3
189,5,5,4,5,2,5,5,4,2
190,3,3,2,5,1,2,2,3,2
191,2,3,5,5,4,4,5,3,4
194,3,5,5,4,4,4,5,3,2
195,3,5,5,4,2,4,4,3,2
196,2,3,3,3,2,3,2,1,1
197,4,2,4,4,1,4,2,2,1
198,4,3,5,4,2,3,5,5,4
199,3,2,4,3,3,3,4,2,3
201,3,2,4,3,2,3,4,2,3
202,3,3,4,4,4,3,3,4,3
203,2,3,4,1,4,5,3,5,3
204,4,5,4,4,3,4,4,4,4
205,4,4,5,5,3,5,5,4,2
207,2,4,3,4,4,4,4,4,4
208,3,5,5,4,4,3,5,5,3
209,4,2,5,4,4,4,3,5,4
211,4,4,4,3,4,5,3,4,4
212,3,3,5,3,4,5,5,4,3
213,4,4,5,5,4,5,4,4,4
214,3,5,4,4,3,4,3,3,3
216,5,4,5,5,3,5,5,5,3
218,5,2,3,5,2,5,5,4,4
219,2,3,4,2,2,4,4,2,2
220,2,4,4,2,4,5,3,3,4
223,5,5,5,5,4,5,5,5,4
224,3,4,3,4,3,4,4,3,3
225,3,3,5,5,5,5,2,3,5
226,4,5,5,5,5,5,5,5,5
227,5,5,5,5,5,5,5,3,5
228,4,2,3,5,2,4,3,3,2
229,4,3,5,5,4,4,4,4,4
230,2,2,2,3,3,4,4,4,3
231,3,2,3,2,1,3,5,1,4
232,5,5,3,1,5,5,4,5,3
233,4,3,2,3,2,3,3,3,4
234,2,3,1,5,1,2,3,3,4
235,4,5,5,4,5,5,5,3,5
236,4,2,4,2,3,4,4,4,3
238,4,5,5,5,2,3,5,2,1
239,3,2,5,5,4,4,4,3,2
240,3,2,2,5,1,1,4,4,2
241,4,2,5,3,4,4,4,3,2
242,2,5,5,4,1,5,3,2,5
244,2,4,4,3,2,3,5,4,4
245,5,3,5,3,3,3,4,3,4
246,3,4,5,4,5,4,4,5,4
247,4,1,2,2,3,3,5,5,4
248,2,4,5,5,5,4,4,5,5
249,2,5,4,3,2,4,4,2,3
251,4,4,4,4,4,5,3,3,4
252,2,2,4,2,2,2,2,2,2
254,2,2,4,4,1,2,4,5,2
255,4,2,5,3,1,4,5,5,3
256,4,4,3,4,2,4,4,3,4
257,3,4,3,2,3,3,3,3,3
258,4,4,4,4,5,5,4,4,4
259,4,2,3,4,3,3,3,2,2
260,4,2,4,5,3,2,3,2,2
261,3,5,5,4,5,5,5,3,4
262,5,2,5,3,3,4,4,3,4
264,3,3,3,3,3,4,3,3,3
266,4,4,5,4,4,5,4,5,4
267,3,3,4,4,4,3,3,3,3
268,4,4,4,3,3,5,4,4,3
270,4,3,5,5,4,4,5,3,4
271,2,4,5,3,4,5,4,5,4
273,3,4,2,4,3,5,5,5,4
274,3,3,2,4,2,2,2,4,3
275,5,4,4,4,3,3,5,4,4
277,4,5,4,3,4,5,4,4,4
278,4,5,5,4,5,4,4,5,4
279,2,3,4,5,3,4,4,3,2
280,3,4,4,2,5,4,4,4,4
281,5,5,5,5,5,5,5,5,5
282,3,3,4,3,3,4,5,3,4
283,1,4,4,4,3,2,2,4,3
285,2,1,4,4,2,1,3,2,1
287,3,2,4,4,3,4,4,5,4
289,3,3,4,4,3,4,4,3,3
290,4,5,5,4,5,4,4,4,4
291,3,5,4,3,4,5,5,5,2
293,4,3,3,4,3,4,4,4,4
294,3,4,4,4,4,5,3,5,5
295,3,3,4,3,3,4,4,3,4
296,3,3,3,2,5,5,4,4,4
297,3,4,4,4,4,5,4,4,4
299,2,4,4,3,3,1,1,5,2
300,3,3,3,3,3,3,3,3,3
301,5,3,3,3,4,3,5,3,4
