"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
181,3,5,5,3,5,5,5,4,4
182,3,3,5,4,3,5,3,4,4
183,5,5,4,3,3,5,5,5,4
185,4,2,2,4,1,3,3,2,4
187,4,4,4,4,5,5,4,4,4
188,3,3,3,3,3,3,3,3,3
189,5,5,5,5,5,5,5,5,5
190,1,1,4,1,2,5,1,1,2
191,5,1,5,1,5,5,5,5,1
194,5,5,5,4,3,4,5,5,4
195,2,5,3,1,2,4,4,4,3
196,2,2,4,3,3,4,1,3,3
197,4,2,4,4,1,4,2,2,1
198,3,4,3,3,3,3,5,5,3
199,3,4,1,1,4,4,4,3,4
201,3,2,4,2,4,3,3,3,3
202,5,4,2,2,5,5,4,5,5
203,2,3,3,1,4,5,3,5,3
204,5,5,4,4,3,5,5,3,4
205,5,2,4,5,2,4,5,4,2
207,3,3,3,4,4,4,4,3,4
208,2,4,3,5,3,4,5,5,2
209,4,2,5,4,4,4,3,5,4
211,4,4,4,3,4,5,3,5,5
212,5,5,2,5,5,5,5,5,4
213,5,5,4,4,5,5,5,5,5
214,3,5,4,5,3,4,3,4,4
216,4,3,3,3,5,5,4,4,2
218,2,4,5,3,5,5,5,4,2
219,3,3,1,2,4,5,5,5,3
220,2,3,2,4,3,4,4,5,5
223,4,5,4,5,4,5,4,5,4
224,4,4,4,4,4,4,5,4,4
225,4,4,4,1,5,5,2,4,3
226,5,4,5,4,5,5,5,5,5
227,5,5,5,5,5,5,5,5,5
228,2,1,3,2,5,1,5,2,3
229,3,5,4,4,5,5,3,5,5
230,2,2,3,1,3,5,4,3,4
231,3,3,3,2,1,4,5,1,3
232,4,5,4,4,5,5,4,5,4
233,3,2,4,3,3,5,4,3,3
234,2,4,3,4,5,4,2,1,2
235,4,4,4,4,5,4,5,5,2
236,3,4,3,2,5,5,2,5,3
238,5,4,3,3,4,5,5,4,5
239,3,3,5,5,5,5,4,3,2
240,2,3,1,1,1,4,4,4,1
241,4,2,5,3,4,4,4,3,2
242,3,5,5,2,5,5,5,5,3
244,3,4,3,2,3,3,4,4,4
245,4,4,5,3,4,4,4,5,3
246,4,5,5,4,5,4,5,5,4
247,4,3,4,4,3,2,5,3,4
248,4,5,4,4,5,5,5,5,4
249,1,5,5,4,3,5,1,1,3
251,3,4,4,3,4,4,4,4,4
252,2,1,4,2,1,3,3,1,1
254,2,2,4,4,2,2,4,2,2
255,5,2,5,2,2,5,5,5,2
256,5,4,4,2,3,4,4,3,4
257,3,3,4,3,2,3,3,3,3
258,4,4,4,3,5,5,4,4,5
259,4,3,4,1,4,4,4,4,3
260,3,1,4,3,3,5,2,5,4
261,3,5,5,4,5,4,4,4,4
262,5,4,5,3,5,5,5,3,2
264,3,4,4,2,3,4,4,4,3
266,5,5,5,3,5,5,5,5,5
267,4,4,2,3,3,3,3,3,4
268,5,4,4,5,5,4,3,4,5
270,5,5,4,4,5,5,5,5,5
271,3,3,5,3,4,4,4,4,4
273,5,4,2,1,5,5,4,5,3
274,3,3,5,4,3,2,2,3,4
275,4,5,4,3,3,3,4,5,4
277,4,5,5,4,4,5,5,4,5
278,4,5,5,4,4,4,4,5,4
279,2,2,3,3,3,3,3,5,1
280,4,4,3,3,5,4,4,4,4
281,5,5,5,5,5,5,5,5,5
282,4,4,3,2,5,5,4,5,4
283,1,5,4,1,5,5,2,1,5
285,1,3,4,1,1,1,1,1,1
287,3,1,4,1,3,4,5,5,3
289,3,2,3,3,4,3,4,3,3
290,5,4,5,4,5,5,5,4,5
291,5,4,5,2,5,5,5,5,3
293,4,2,3,3,3,4,4,3,4
294,3,4,2,3,4,3,3,4,4
295,4,4,4,4,4,3,3,3,3
296,3,3,4,3,5,5,3,4,4
297,3,4,4,4,4,5,4,4,4
299,4,2,2,3,3,5,5,1,4
